"source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2022","ANNUAL","00","00","YEAR","","2023-02-24 15:00:00.000","197","02.30"
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2021","ANNUAL","00","00","YEAR","","2023-02-24 15:00:00.000","203.9","01.80"
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2020","ANNUAL","00","00","YEAR","","2022-02-24 15:00:14.000","183.9","2.9"
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2019","ANNUAL","00","00","YEAR","","2020-02-20 15:00:33.000","190.8",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2018","ANNUAL","00","00","YEAR","","2020-02-20 15:00:33.000","193.1",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2017","ANNUAL","00","00","YEAR","","2018-02-22 15:08:35.000","187.9",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2016","ANNUAL","00","00","YEAR","","2017-02-23 15:00:08.000","201.1",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2015","ANNUAL","00","00","YEAR","","2016-02-18 15:04:50.000","202.7",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2014","ANNUAL","00","00","YEAR","","2015-02-19 15:38:52.000","172.1",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2013","ANNUAL","00","00","YEAR","","2015-02-19 15:38:52.000","160.5",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2012","ANNUAL","00","00","YEAR","","2015-06-03 15:08:31.000","148.2",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2011","ANNUAL","00","00","YEAR","","2015-06-03 15:08:31.000","180.2",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2010","ANNUAL","00","00","YEAR","","2015-06-03 15:08:31.000","178.3",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2009","ANNUAL","00","00","YEAR","","2015-06-03 15:08:31.000","190.7",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","YIELD","BU / ACRE","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2008","ANNUAL","00","00","YEAR","","2015-06-03 15:08:31.000","179",""
